ID,CONJUNTODADOS_PRODUTO,TABELA,ORDEM_ORIGEM,TABELA_ORIGEM,SISTEMA_ORIGEM,SERVIDOR_ORIGEM,DATABASE_ORIGEM,SCHEMA_ORIGEM,TIPO_CONEXAO,REPOSITORIO,MECANICA,FREQUENCIA,MODO_ESCRITA
DB_PAN_DL_RAW.TB_OPERACOES_PRP_CONTABIL_REMESSA,Operações,TB_OPERACOES_PRP_CONTABIL_REMESSA,1,CONTABIL_REMESSA,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_CONTRATO,Operações,TB_OPERACOES_PRP_CONTRATO,1,CONTRATO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-001,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,APPEND
DB_PAN_DL_RAW.TB_OPERACOES_PRP_CONVENIO,Operações,TB_OPERACOES_PRP_CONVENIO,1,CONVENIO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_ENDERECO,Operações,TB_OPERACOES_PRP_ENDERECO,1,ENDERECO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-001,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,APPEND
DB_PAN_DL_RAW.TB_OPERACOES_PRP_EVENTO,Operações,TB_OPERACOES_PRP_EVENTO,1,EVENTO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_FAVORECIDO,Operações,TB_OPERACOES_PRP_FAVORECIDO,1,FAVORECIDO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-001,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,APPEND
DB_PAN_DL_RAW.TB_OPERACOES_PRP_HISTORICO_FINANCEIRO,Operações,TB_OPERACOES_PRP_HISTORICO_FINANCEIRO,1,HISTORICO_FINANCEIRO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_HISTORICO_REEMBOLSO,Operações,TB_OPERACOES_PRP_HISTORICO_REEMBOLSO,1,HISTORICO_REEMBOLSO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-001,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,APPEND
DB_PAN_DL_RAW.TB_OPERACOES_PRP_INTEGRACAO_RETIRADA_USO_INTERNO,Operações,TB_OPERACOES_PRP_INTEGRACAO_RETIRADA_USO_INTERNO,1,INTEGRACAO_RETIRADA_USO_INTERNO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_LOTE_REEMBOLSO,Operações,TB_OPERACOES_PRP_LOTE_REEMBOLSO,1,LOTE_REEMBOLSO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-001,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,APPEND
DB_PAN_DL_RAW.TB_OPERACOES_PRP_MENSAGEM,Operações,TB_OPERACOES_PRP_MENSAGEM,1,MENSAGEM,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-001,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,APPEND
DB_PAN_DL_RAW.TB_OPERACOES_PRP_MENSAGEM_COMUNICACAO,Operações,TB_OPERACOES_PRP_MENSAGEM_COMUNICACAO,1,MENSAGEM_COMUNICACAO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_MENSAGEM_PADRAO,Operações,TB_OPERACOES_PRP_MENSAGEM_PADRAO,1,MENSAGEM_PADRAO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_MENSAGEM_PAGAMENTO,Operações,TB_OPERACOES_PRP_MENSAGEM_PAGAMENTO,1,MENSAGEM_PAGAMENTO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_MOTIVO_BLOQUEIO,Operações,TB_OPERACOES_PRP_MOTIVO_BLOQUEIO,1,MOTIVO_BLOQUEIO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_PAGAMENTO,Operações,TB_OPERACOES_PRP_PAGAMENTO,1,PAGAMENTO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-001,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,APPEND
DB_PAN_DL_RAW.TB_OPERACOES_PRP_PAGAMENTO_HISTORICO,Operações,TB_OPERACOES_PRP_PAGAMENTO_HISTORICO,1,PAGAMENTO_HISTORICO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-001,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,APPEND
DB_PAN_DL_RAW.TB_OPERACOES_PRP_POSICAO_ESTOQUE_PASSIVO_RECEITA,Operações,TB_OPERACOES_PRP_POSICAO_ESTOQUE_PASSIVO_RECEITA,1,POSICAO_ESTOQUE_PASSIVO_RECEITA,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_PROCESSO_REGISTRO,Operações,TB_OPERACOES_PRP_PROCESSO_REGISTRO,1,PROCESSO_REGISTRO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_REEMBOLSO,Operações,TB_OPERACOES_PRP_REEMBOLSO,1,REEMBOLSO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-001,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,APPEND
DB_PAN_DL_RAW.TB_OPERACOES_PRP_REEMBOLSO_COMUNICACAO,Operações,TB_OPERACOES_PRP_REEMBOLSO_COMUNICACAO,1,REEMBOLSO_COMUNICACAO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_REEMBOLSO_INTEGRACAO,Operações,TB_OPERACOES_PRP_REEMBOLSO_INTEGRACAO,1,REEMBOLSO_INTEGRACAO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-001,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,APPEND
DB_PAN_DL_RAW.TB_OPERACOES_PRP_REEMBOLSO_PAGAMENTO,Operações,TB_OPERACOES_PRP_REEMBOLSO_PAGAMENTO,1,REEMBOLSO_PAGAMENTO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-002,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,APPEND
DB_PAN_DL_RAW.TB_OPERACOES_PRP_SIGLA,Operações,TB_OPERACOES_PRP_SIGLA,1,SIGLA,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_OPERACOES_PRP_TRANSFERENCIA_DIREITO,Operações,TB_OPERACOES_PRP_TRANSFERENCIA_DIREITO,1,TRANSFERENCIA_DIREITO,SQL_SERVER,PANFDBP3095D,PRP,gestao_reembolso,datalake-replicacao-raw-inclusao-prp-003,Pendente Engenheiro de Dados,AUTOMATICA,Diário as 8,OVERWRITE
DB_PAN_DL_RAW.TB_IMOBILIARIO_CONTRATOS_IMOBILIARIO_21821,Operações,TB_IMOBILIARIO_CONTRATOS_IMOBILIARIO_21821,1,CONTRATOS_IMOBILIARIO_21821.csv,ARQUIVO .CSV,-,-,-,Ingestão de arquivo via Lambda,Pendente Engenheiro de Dados,AUTOMATICA,ESTÁTICA,APPEND
DB_PAN_DL_RAW.TB_IMOBILIARIO_CONTRATOS_IMOBILIARIO_21822,Operações,TB_IMOBILIARIO_CONTRATOS_IMOBILIARIO_21822,1,CONTRATOS_IMOBILIARIO_21822.csv,ARQUIVO .CSV,-,-,-,Ingestão de arquivo via Lambda,Pendente Engenheiro de Dados,AUTOMATICA,ESTÁTICA,APPEND
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_RH_COD_FUNCIONARIOS,Pessoas,TB_BI_ODS_RL_RH_COD_FUNCIONARIOS,1,ZADBIVIEW,APDATA,PANFDBP30911CLA,apdata,DBO,JDBC,Pendente Engenheiro de Dados,AUTOMATICA,D-1,APPEND
DB_PAN_DL_RAW.TB_PLD_PEP_AML,PLD,TB_PLD_PEP_AML,1,carga-pep.csv,Arquivo disponibilizado no diretório \\Panvfsp3011\producao\PLD\PLDSEM001I,-,-,-,Ingestão de arquivo via Lambda,Pendente Engenheiro de Dados,AUTOMATICA,SEGUNDAS FEIRAS,APPEND
DB_PAN_DL_RAW.TB_PLD_PEP_SISCOAF,PLD,TB_PLD_PEP_SISCOAF,1,PEPSISCOAF_062021,Arquivo disponibilizado no diretório \\Panvfsp3011\producao\PLD\PLDSEM001I,-,-,-,Ingestão de arquivo via Lambda,Pendente Engenheiro de Dados,AUTOMATICA,SEGUNDAS FEIRAS,APPEND
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_VCL_PROP_OBS_ACORDO,Reserva de Dados Técnicos,TB_BI_ODS_RL_VCL_PROP_OBS_ACORDO,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_VCL_PROP_PARC_ACORDO,Recuperação de Crédito,TB_BI_ODS_RL_VCL_PROP_PARC_ACORDO,1,RL_VCL_PROP_PARC_ACORDO,Oracle,PANVDBP420D,BI_ODS,,,,,,
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_VCL_PROP_RENEG_ACORDO,Reserva de Dados Técnicos,TB_BI_ODS_RL_VCL_PROP_RENEG_ACORDO,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_VCL_PROPOSTAS_FORMALIZACAO,Reserva de Dados Técnicos,TB_BI_ODS_RL_VCL_PROPOSTAS_FORMALIZACAO,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_VCL_RET_GRAVAME,Reserva de Dados Técnicos,TB_BI_ODS_RL_VCL_RET_GRAVAME,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_VCL_SALDO,Recuperação de Crédito,TB_BI_ODS_RL_VCL_SALDO,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_VCL_SIT_VEIC,Reserva de Dados Técnicos,TB_BI_ODS_RL_VCL_SIT_VEIC,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_VCL_TCNPROP,Reserva de Dados Técnicos,TB_BI_ODS_RL_VCL_TCNPROP,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_VCL_TIPO_DESPESA,Reserva de Dados Técnicos,TB_BI_ODS_RL_VCL_TIPO_DESPESA,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_VCL_TPDSP,Reserva de Dados Técnicos,TB_BI_ODS_RL_VCL_TPDSP,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_ODS_RL_VCL_VEIC_APREEND,Reserva de Dados Técnicos,TB_BI_ODS_RL_VCL_VEIC_APREEND,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_CAMPO,Reserva de Dados Técnicos,TB_BI_STAR_RL_CAMPO,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_CRITERIO,Crédito,TB_BI_STAR_RL_CRITERIO,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_DETALHE,Reserva de Dados Técnicos,TB_BI_STAR_RL_DETALHE,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_DETALHEDISCRETA,Reserva de Dados Técnicos,TB_BI_STAR_RL_DETALHEDISCRETA,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_DRIVER,Crédito,TB_BI_STAR_RL_DRIVER,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_GRUPO_USUARIO,Reserva de Dados Técnicos,TB_BI_STAR_RL_GRUPO_USUARIO,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_LOG,Crédito,TB_BI_STAR_RL_LOG,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_LOG_HIST,Reserva de Dados Técnicos,TB_BI_STAR_RL_LOG_HIST,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_LOGCOLETA,Crédito,TB_BI_STAR_RL_LOGCOLETA,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_LOGDECISAO,Crédito,TB_BI_STAR_RL_LOGDECISAO,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_LOGDECISAO_HIST,Reserva de Dados Técnicos,TB_BI_STAR_RL_LOGDECISAO_HIST,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_LOGDETALHE,Reserva de Dados Técnicos,TB_BI_STAR_RL_LOGDETALHE,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_LOGDETALHE_HIST,Reserva de Dados Técnicos,TB_BI_STAR_RL_LOGDETALHE_HIST,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_LOGDISCRETA,Reserva de Dados Técnicos,TB_BI_STAR_RL_LOGDISCRETA,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_LOGDISCRETA_HIST,Reserva de Dados Técnicos,TB_BI_STAR_RL_LOGDISCRETA_HIST,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_LOGMULTIOPERACAO,Reserva de Dados Técnicos,TB_BI_STAR_RL_LOGMULTIOPERACAO,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_LOGPARAMETRO,Crédito,TB_BI_STAR_RL_LOGPARAMETRO,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_MAQUINA,Reserva de Dados Técnicos,TB_BI_STAR_RL_MAQUINA,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_PROD_CRIVO,Crédito,TB_BI_STAR_RL_PROD_CRIVO,1,,,,,,,,,,
DB_PAN_DL_LEGACY.TB_BI_STAR_RL_REGIONAL,Reserva de Dados Técnicos,TB_BI_STAR_RL_REGIONAL,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_BUREAUX_QUOD_CADPOSITIVO_BACKTEST_AMOSTRA,Bureaux,TB_BUREAUX_QUOD_CADPOSITIVO_BACKTEST_AMOSTRA,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_BUREAUX_QUOD_CADPOSITIVO_BACKTEST_HISTORICO,Bureaux,TB_BUREAUX_QUOD_CADPOSITIVO_BACKTEST_HISTORICO,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_CIP_EMAIL,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_CIP_EMAIL,1,,,,,,,,,0,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_CIP_ENDERECO,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_CIP_ENDERECO,1,,,,,,,,,0,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_CIP_NOME,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_CIP_NOME,1,,,,,,,,,0,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_CIP_TELEFONE,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_CIP_TELEFONE,1,,,,,,,,,0,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_DELTA_EMAIL,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_DELTA_EMAIL,1,,,,,,,,,Execucao ocorre:,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_DELTA_ENDERECO,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_DELTA_ENDERECO,1,,,,,,,,,Execucao ocorre:,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_DELTA_NOME,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_DELTA_NOME,1,,,,,,,,,Execucao ocorre:,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_DELTA_TELEFONE,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CADASTRO_DELTA_TELEFONE,1,,,,,,,,,Execucao ocorre:,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CIP_CANCELADO,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CIP_CANCELADO,1,,,,,,,,,Execucao ocorre:,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CONTESTACAO,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CONTESTACAO,1,,,,,,,,,Execucao ocorre:,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CONTESTACAO_CLIENTE,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CONTESTACAO_CLIENTE,1,,,,,,,,,Execucao ocorre:,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_CONTESTACAO_OPERACAO,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_CONTESTACAO_OPERACAO,1,,,,,,,,,Execucao ocorre:,
DB_PAN_DL_RAW.TB_CADASTRO_POSITIVO_JDPOS_GBD,Cadastro Positivo,TB_CADASTRO_POSITIVO_JDPOS_GBD,1,,,,,,,,,Execucao ocorre:,
